Fecha|Hora|Seccion|Titulo|Descripcion|Autor|link|hora_extraida|transformacion_datetime
29/07/2024|23:57|Tramites|Link, Revisa tus aportes a la ONP y cuánto has logrado acumular|Sigue el paso a paso de la siguiente nota y conoce cuándo has logrado acumular con tus aportes a la ONP este 2024.|Redacción EC|/respuestas/tramites/consulta-tu-onp-2024-conoce-tus-aportes-acumulados-revisa-con-dni-tu-onp-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:56|Loterias|¿A qué hora y días se juega La Tinka y cómo ver los sorteos EN VIVO? |Entérate de todos los pormenores de La Tinka, cuándo es el próximo sorteo, cómo jugar y mucho más de los números ganadores.|Redacción EC|/respuestas/loterias/la-tinka-hoy-28-de-julio-2024-dias-horarios-del-sorteo-y-donde-ver-los-resultados-en-vivo-como-jugar-la-tinka-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:56|Cuanto|¿Cuántos años deben pasar para que tu deuda en el banco prescriba? Esto indica el Código Civil|Entérate cuánto es el tiempo que debe pasar para que deje de figurar tu deuda como exigible ante la ley, según el Código Civil.|Redacción EC|/respuestas/cuanto/cuando-prescribe-una-deuda-bancaria-en-el-peru-esto-dice-el-codigo-civil-sbs-bancos-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:55|Respuestas|Link, Padrón SISFOH 2024: Consulta si tu hogar es considerado pobre, según Midis|Consulta el link oficial y el padrón de SISFOH para saber la clasificación socioeconómica de tu hogar.|Redacción EC|/respuestas/sisfoh-2024-tu-hogar-califica-como-pobre-consulta-el-padron-link-via-midis-cual-es-el-nivel-socioeconomico-de-tu-hogar-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:54|Quién|¿Quiénes podrán tener DNI electrónico GRATIS desde este 2 de agosto y en qué municipalidades lo puedes tramitar?|Quiénes podrán beneficiarse de esta iniciativa y en qué lugares exactos podrán realizar el trámite para obtener el DNI electrónico gratís. En la ...|Redacción EC|/respuestas/quien/quienes-podran-tener-dni-electronico-gratis-desde-este-2-de-agosto-y-en-que-municipalidades-lo-puedes-tramitar-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:47|Cuanto|Aumento de Pensión 65: cuánto es el nuevo monto a cobrar por los beneficiarios del Midis|¿Cuánto es el nuevo monto de Pensión 65? En la siguiente nota te contaremos todo lo que debes saber sobre el incremento de este programa del Esta...|Redacción EC|/respuestas/cuanto/aumento-de-pension-65-cuanto-es-el-nuevo-monto-a-cobrar-por-los-beneficiarios-del-midis-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:47|Cuándo|De cuánto es el monto del sueldo docente en Perú y la escala salarial del Minedu|Revisa cuál es la escala salarial propuesta por el Minedu para profesores nombrados y contratados este 2024 en Perú.|Redacción EC|/respuestas/cuando/cuanto-gana-un-docente-este-2024-en-peru-revisa-la-escala-salarial-actualizada-del-minedu-profesores-nombrados-y-contratados-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:46|Polideportivo|A qué hora corre Kimberly García en Juegos Olímpicos París 2024|En El Comercio conoce el horario en el que Kimberly García participará en los Juegos Olímpicos París 2024.|Redacción EC|/deporte-total/polideportivo/a-que-hora-corre-kimberly-garcia-hoy-en-juegos-olimpicos-paris-2024-cuando-compite-horario-y-donde-ver-marcha-atletica-femenina-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:46|Respuestas|Sueldo mínimo en Perú: ¿De cuánto podría ser el aumento y qué declaró la presidenta Boluarte en su discurso?|Este 28 de julio, la presidenta Boluarte aprovechó su discurso presidencial para mencionar el incremento del sueldo mínimo en Perú. Consulta aquí...|Redacción EC|/respuestas/aumento-de-sueldo-minimo-2024-en-cuanto-podria-subir-y-cuando-se-evaluara-la-rmv-de-que-depende-el-incremento-salarial-dina-boluarte-mtpe-mef-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:40|Cuándo|¿Cuándo estaría listo el aeropuerto de Chinchero, según el MTC?|¿Cuándo exactamente estará listo este proyecto? En la siguiente nota responderemos esta y otras interrogantes sobre el tema.|Redacción EC|/respuestas/cuando/cuando-estaria-listo-el-aeropuerto-de-chinchero-segun-el-mtc-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:40|Gobierno|Dina Boluarte: ex titulares de PCM cuestionan anuncio de creación del Ministerio de Infraestructura|Durante su discurso por 28 de julio, la presidenta también propuso la fusión de dos pares de ministerios, así como cambiar de nombre al Ministeri...|Víctor Reyes Parra|/politica/gobierno/dina-boluarte-plantea-la-creacion-del-ministerio-de-infraestructura-ex-primeros-ministros-cuestionan-la-iniciativa-fiestas-patrias-28-de-julio-discurso-presidencial-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:35|EEUU|Trump dice que está dispuesto a debatir con Kamala Harris antes del voto por anticipado|Trump reconoció que “probablemente” acabará “debatiendo con ella”, pero lamentó que la cadena que tiene el compromiso de hacerlo el 10 de septiem...|Agencia EFE|/mundo/eeuu/donald-trump-dice-que-esta-dispuesto-a-debatir-con-kamala-harris-antes-del-voto-por-anticipado-elecciones-estados-unidos-2024-joe-biden-pensilvania-melania-trump-barack-obama-eeuu-usa-ultimas-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:34|Perú|Dónde fue el temblor HOY, 30 de julio: Sigue los reportes del IGP, epicentro y magnitud del sismo en Perú|Consulta los últimos reportes del IGP (Instituto Geofísico del Perú) y conoce dónde fue el epicentro del último sismo de hoy.|Redacción EC|/peru/temblor-en-peru-hoy-hora-magnitud-y-donde-fue-el-epicentro-del-ultimo-sismo-segun-el-igp-sismos-en-peru-video-censis-ultimo-minuto-yt-youtube-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:34|Cual|¿Cuál es el curso que se volverá a enseñar en los colegios, según Dina Boluarte en su último mensaje a la Nación?|¿De qué curso se trata? En la siguiente nota te contaremos todo lo que debes saber sobre esta importante materia que regresará a las aulas de cla...|Redacción EC|/respuestas/cual/cual-es-el-curso-que-se-volvera-a-ensenar-en-los-colegios-segun-dina-boluarte-en-su-ultimo-mensaje-a-la-nacion-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:31|Cómo|Link, Fonavi 2024: Padrón Grupo Reintegro 2, horarios y cómo cobrar los aportes|Consulta el padrón oficial de beneficiarios, las últimas noticias de intéres para los fonavistas y qué se sabe del pago de aportes para el mes de...|Redacción EC|/respuestas/como/fonavi-2024-link-grupo-de-reintegro-2-y-proximos-pagos-en-julio-y-agosto-2024-padron-oficial-de-benificiarios-como-cobrar-en-el-banco-de-la-nacion-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:29|Cuándo|Cuándo abonan mi AFP 2024: Esta es la fecha de depósito, según el reglamento de la SBS|Conoce aquí el plazo establecido por la SBS para el abono de cada UIT de tu dinero solicitado.|Redacción EC|/respuestas/cuando/cual-es-el-plazo-de-abono-de-mi-afp-2024-posibles-fechas-segun-el-reglamento-de-la-sbs-link-para-solicitar-cronograma-solicitaretiroafppe-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:27|Cual|¿La UNI? Esto dijo la IA sobre cuál es la mejor universidad peruana para estudiar ingeniería|¿Qué dijo la IA sobre cuál es la mejor universidad peruana para estudiar ingeniería? En la siguiente nota te contaremos lo que debes saber.|Redacción EC|/respuestas/cual/la-uni-esto-dijo-la-ia-sobre-cual-es-la-mejor-universidad-peruana-para-estudiar-ingenieria-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:20|Mexico|Temblor en México hoy, lunes 29 de julio: último reporte de sismo y magnitud según SSN|Revisa aquí la última hora de la actividad sísmica en México reportada por el Servicio Sismológico Nacional (SSN).|Redacción EC|/respuestas/mexico/temblor-en-mexico-hoy-en-vivo-ultimo-sismo-28-y-29-de-julio-registrado-por-el-ssn-cual-fue-la-magnitud-epicentro-y-hora-servicio-sismologico-nacional-mexico-cdmx-mx-lbposting-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:18|Cuándo|Este martes 30 de julio no es día no laborable, ni feriado: ¿cuándo será el próximo día libre?|¿Cuándo será el próximo día libre en el calendario? Con ansias de un respiro, descubre cuál es la próxima fecha marcada para disfrutar de un mere...|Redacción EC|/respuestas/cuando/este-martes-30-de-julio-no-es-dia-no-laborable-ni-feriado-cuando-sera-el-proximo-dia-libre-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:16|Colombia|Atlético Nacional vs. La Equidad en vivo, Liga BetPlay: a qué hora juegan, canal que transmite y dónde ver|Sigue la transmisión del partido de Atlético Nacional vs. La Equidad en vivo online por la jornada 9 de la Liga BetPlay.|Redacción EC|/deporte-total/colombia/atletico-nacional-vs-la-equidad-en-vivo-online-gratis-por-liga-betplay-a-que-hora-juegan-canal-que-transmite-y-donde-ver-partido-via-win-sports-y-futbol-libre-tv-apuestas-pronostico-video-co-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:16|Fútbol mundial|ESPN en vivo, Barcelona vs. Manchester City online gratis por partido amistoso|Vía ESPN en vivo, no te pierdas el partido de Barcelona vs. Manchester City por partido amistoso.|Redacción EC|/deporte-total/futbol-mundial/espn-en-vivo-barcelona-vs-manchester-city-online-gratis-via-futbol-libre-tv-disney-plus-star-plus-movistar-horario-quien-televisa-y-donde-pasan-partido-amistoso-link-tv-streaming-video-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:16|Fútbol mundial|Barcelona vs. Manchester City en vivo: a qué hora juegan, canal que transmite y dónde ver|Sigue la transmisión del partido de Barcelona vs. Manchester City en vivo online por partido amistoso desde el Camping World Stadium de Florida.|Redacción EC|/deporte-total/futbol-mundial/barcelona-vs-manchester-city-en-vivo-hoy-online-via-movistar-plus-espn-disney-plus-star-plus-y-futbol-libre-tv-a-que-hora-juegan-canal-que-transmite-y-donde-ver-partido-amistoso-city-vs-barcelona-apuestas-pronostico-resultado-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:15|Economía|Retiro AFP 2024: fechas extraordinarias y LINK para enviar la solicitud|El trámite se puede realizar de manera digital, de lunes a viernes de 8:00 a.m. a 6:00 p.m. Entérate hasta cuándo puedes realizar la solicitud.|Redacción EC|/economia/retiro-afp-cronograma-2024-link-quienes-pueden-enviar-como-dias-para-realizar-tu-solicitud-numero-verificador-como-enviar-solicitud-prima-profuturo-afpnet-lbposting-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:15|Respuestas|Temblor en Perú hoy, lunes 29 de julio: último reporte de sismo y magnitud según IGP|Mira aquí los reportes del Instituto Geofísico del Perú (IGP) sobre los últimos sismos en el país. |Redacción EC|/respuestas/temblor-en-peru-hoy-ultimos-sismos-de-julio-en-vivo-hoy-magnitud-epicentro-y-reporte-segun-igp-instituto-geofisico-del-peru-lima-callao-arequipa-ica-lbposting-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:15|España|España vs. Grecia en vivo, baloncesto masculino: dónde ver por Juegos Olímpicos 2024|España vs. Grecia EN VIVO se verán las caras por la segunda fecha en baloncesto de los Juegos Olímpicos París 2024.|Redacción EC|/deporte-total/espana/espana-vs-grecia-en-vivo-directo-baloncesto-juegos-olimpicos-paris-2024-via-la-1-rtve-eurosport-movistar-plus-youtube-claro-sports-a-que-hora-juegan-canal-que-televisa-y-donde-ver-online-gratis-video-es-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:15|Chile|Temblor en Chile hoy, lunes 29 de julio: último reporte de sismo y magnitud según CSN|Revisa aquí en vivo los últimos reportes de los movimientos sísmicos en Chile de acuerdo al Centro Sismológico Nacional.|Redacción EC|/respuestas/chile/temblor-en-chile-hoy-en-vivo-ultimo-sismo-del-28-y-29-de-julio-magnitud-epicentro-profundidad-y-hora-reportados-centro-sismologico-nacional-santiago-ollague-socarie-lbposting-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:15|Colombia|Temblor en Colombia hoy, lunes 29 de julio: último reporte de sismo y magnitud según SGC|Mira aquí los reportes del Servicio Geológico Colombiano (SGC) sobre los últimos sismos en el país.|Redacción EC|/respuestas/colombia/temblor-en-colombia-hoy-en-vivo-ultimo-sismo-28-y-29-de-julio-2024-reporte-de-magnitud-epicentro-y-hora-segun-sgc-servicio-geologico-colombianos-servicio-geologico-colombiano-santander-antioquia-co-lbposting-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:15|Polideportivo|"Espectacular: Gabriel Medina y la mejor ola olímpica de la historia | VIDEO"|El brasileño encaminó su pase a los cuartos de final del surf de París 2024 en Tahití con una magistral ola de 9.90 puntos|Redacción EC|/deporte-total/polideportivo/gabriel-medina-y-una-ola-de-record-olimpico-brasileno-obtiene-el-mayor-puntaje-en-surf-de-los-juegos-olimpicos-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:11|Usa|Resultados de Powerball: sorteo y números ganadores del lunes 29 de julio|Conoce aquí los resultados de Powerball, la lotería más popular de Estados Unidos. También sigue el sorteo y los números ganadores del Double Pla...|Redacción EC|/respuestas/usa/powerball-online-en-vivo-resultados-hoy-lunes-29-de-julio-2024-ver-numeros-ganadores-y-jackpot-winning-numbers-mega-millions-cash-value-double-play-washington-eeuu-usa-lbposting-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:09|Cual|Esta fruta es la ideal para mejorar el sueño, perder peso: además es un gran antioxidante, según estudios|Cada propiedad nutricional ofrecida por alimentos saludables, nos proporciona más de un beneficio, y gracias a una deliciosa baya proveniente de ...|Redacción EC|/respuestas/cual/la-fruta-que-ayuda-a-mejorar-el-sueno-perder-peso-y-es-un-gran-antioxidante-segun-estudios-kiwi-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:08|Por qué|¿Guardas tus ollas con comida en la refrigeradora? Este estudio recomienda que no lo vuelvas a hacer|Esta práctica común, que muchos consideran inofensiva, ha sido cuestionada por expertos en salud. En la siguiente nota te contaremos todo lo que ...|Redacción EC|/respuestas/por-que/guardas-tus-ollas-con-comida-en-la-refrigeradora-este-estudio-recomienda-que-no-lo-vuelvas-a-hacer-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:00|Cual|La contundente respuesta de Kevin Serna que dio en Brasil sobre si desea jugar en la selección peruana o colombiana|En la siguiente nota te contaremos todo lo que debes saber sobre la contundente respuesta que dio Kevin Serna en Brasil sobre si desea jugar en l...|Redacción EC|/respuestas/cual/la-contundente-respuesta-de-kevin-serna-que-dio-en-brasil-sobre-si-desea-jugar-en-la-seleccion-peruana-o-colombiana-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|23:00|Cuándo|En qué fecha regresarán los escolares a clases tras las vacaciones de julio, según Minedu|Millones de estudiantes peruanos en etapa escolar hoy gozan de días libres en medio de la celebración de las Fiestas Patrias, y enmarcados en una...|Redacción EC|/respuestas/cuando/cuando-vuelven-a-clases-los-colegios-tras-las-vacaciones-de-julio-revisa-el-calendario-del-minedu-tdpe-noticia/|23|2024-07-30 00:16:03.069087
29/07/2024|22:51|Venezuela|Venezuela suspende de forma temporal vuelos comerciales a Panamá y República Dominicana|Ejecutivo explicó que esta suspensión responde también a “la presunción del uso de la aviación civil con fines no compatibles con los principios ...|Agencia EFE|/mundo/venezuela/elecciones-venezuela-2024-gobierno-de-nicolas-maduro-suspende-de-forma-temporal-vuelos-comerciales-a-panama-y-republica-dominicana-edmundo-gonzalez-urrutia-maria-corina-machado-pud-cne-ultimas-noticia/|22|2024-07-30 00:16:03.069087
29/07/2024|22:50|España|España vs Egipto Sub 23 EN VIVO HOY Juegos Olímpicos París 2024: a qué hora juegan y dónde ver|España vs Egipto SUB 23 EN VIVO: sigue el partido por el fútbol masculino de los Juegos Olímpicos de París 2024. Conoce aquí a qué hora juegan y ...|Redacción EC|/deporte-total/espana/espana-vs-egipto-en-vivo-hoy-directo-sub-23-juegos-olimpicos-paris-2024-la-1-tve-rtve-play-claro-sports-a-que-hora-juegan-quien-pasa-y-donde-ver-por-internet-via-youtube-futbol-libre-max-eurosport-directv-video-tv-online-gratis-link-noticia/|22|2024-07-30 00:16:03.069087
29/07/2024|22:50|Argentina|Argentina vs Ucrania EN VIVO HOY - Juegos Olímpicos: a qué hora juegan y dónde ver |Argentina vs Ucrania SUB 23 EN VIVO: sigue el partido por el fútbol masculino de los Juegos Olímpicos de París 2024. Conoce aquí a qué hora juega...|Redacción EC|/deporte-total/argentina/argentina-vs-ucrania-en-vivo-gratis-hoy-sub-23-juegos-olimpicos-paris-2024-via-tv-publica-y-tyc-sports-futbol-libre-a-que-hora-juega-canal-tv-online-y-donde-ver-por-internet-link-directv-flow-claro-sports-youtube-video-ar-noticia/|22|2024-07-30 00:16:03.069087
29/07/2024|22:49|Selección|Paraguay vs Malí EN VIVO HOY Juegos Olímpicos 2024: a qué hora juega y dónde ver|Paraguay vs Malí Sub 23 EN VIVO: sigue el partido por el fútbol masculino de los Juegos Olímpicos de París 2024. Conoce aquí a qué hora juegan y ...|Redacción EC|/deporte-total/seleccion/paraguay-vs-mali-en-vivo-gratis-hoy-sub-23-juegos-olimpicos-paris-2024-via-futbol-libre-tigo-sports-snt-canal-9-claro-sports-youtube-a-que-hora-juega-canal-que-transmite-y-donde-ver-por-internet-link-tv-online-video-py-noticia/|22|2024-07-30 00:16:03.069087
29/07/2024|22:49|Cómo|¿Cómo hacer para calificar y pedir un préstamo en Yape?|¿Cómo puedes calificar y solicitar un préstamo en Yape? Las respuestas a estas interrogantes en la siguiente nota que presentamos a continuación.|Redacción EC|/respuestas/como/como-hacer-para-calificar-y-pedir-un-prestamo-en-yape-tdpe-noticia/|22|2024-07-30 00:16:03.069087
29/07/2024|22:46|Venezuela|Venezuela: miles de personas protestan en Petare, el barrio pobre más grande de Caracas, contra la reelección de Maduro|En Petare, al este de la capital, la gente empezó a caminar gritando contra Maduro y algunos jóvenes con los rostros cubiertos arrancaron cartele...|Agencia AP|/mundo/venezuela/elecciones-en-venezuela-petare-nicolas-maduro-miles-de-personas-protestan-en-caracas-contra-la-reeleccion-maria-corina-machado-edmundo-gonzalez-urrutia-noticia/|22|2024-07-30 00:16:03.069087
29/07/2024|22:45|Venezuela|¿Qué países no reconocen la reelección de Nicolás Maduro en Venezuela? (y quiénes ya lo felicitaron)|El Consejo Nacional Electoral (CNE) de Venezuela dijo que Nicolás Maduro ganó la reelección con el 51,2 % de votos frente al 44,2 % del aspirante...|Agencia EFE|/mundo/venezuela/elecciones-venezuela-2024-nicolas-maduro-estados-unidos-argentina-chile-peru-guatemala-y-costa-rica-desconocen-la-reeleccion-del-chavista-edmundo-gonzalez-urrutia-maria-corina-machado-que-paises-no-reconocen-la-victoria-de-maduro-noticia/|22|2024-07-30 00:16:03.069087
